2013-12-16 20:43:19 status half-installed base-passwd:armel 3.5.26
2013-12-16 20:43:19 status unpacked base-passwd:armel 3.5.26
2013-12-16 20:43:19 status unpacked base-passwd:armel 3.5.26
2013-12-16 20:43:19 install bash:armel <none> 4.2+dfsg-0.1
2013-12-16 20:43:19 status half-installed bash:armel 4.2+dfsg-0.1
2013-12-16 20:43:20 status unpacked bash:armel 4.2+dfsg-0.1
2013-12-16 20:43:20 status unpacked bash:armel 4.2+dfsg-0.1
2013-12-16 20:43:20 install libbz2-1.0:armel <none> 1.0.6-4
2013-12-16 20:43:20 status half-installed libbz2-1.0:armel 1.0.6-4
2013-12-16 20:43:20 status unpacked libbz2-1.0:armel 1.0.6-4
2013-12-16 20:43:20 status unpacked libbz2-1.0:armel 1.0.6-4
2013-12-16 20:43:21 install coreutils:armel <none> 8.13-3.5
2013-12-16 20:43:21 status half-installed coreutils:armel 8.13-3.5
2013-12-16 20:43:23 status unpacked coreutils:armel 8.13-3.5
2013-12-16 20:43:23 status unpacked coreutils:armel 8.13-3.5
2013-12-16 20:43:23 install dash:armel <none> 0.5.7-3
2013-12-16 20:43:23 status half-installed dash:armel 0.5.7-3
2013-12-16 20:43:24 status unpacked dash:armel 0.5.7-3
2013-12-16 20:43:24 status unpacked dash:armel 0.5.7-3
2013-12-16 20:43:25 install libdb5.1:armel <none> 5.1.29-5
2013-12-16 20:43:25 status half-installed libdb5.1:armel 5.1.29-5
2013-12-16 20:43:25 status unpacked libdb5.1:armel 5.1.29-5
2013-12-16 20:43:25 status unpacked libdb5.1:armel 5.1.29-5
2013-12-16 20:43:25 upgrade debconf:all 1.5.49 1.5.49
2013-12-16 20:43:25 status half-configured debconf:all 1.5.49
2013-12-16 20:43:26 status unpacked debconf:all 1.5.49
2013-12-16 20:43:26 status half-installed debconf:all 1.5.49
2013-12-16 20:43:27 status half-installed debconf:all 1.5.49
2013-12-16 20:43:27 status unpacked debconf:all 1.5.49
2013-12-16 20:43:27 status unpacked debconf:all 1.5.49
2013-12-16 20:43:27 install debconf-i18n:all <none> 1.5.49
2013-12-16 20:43:27 status half-installed debconf-i18n:all 1.5.49
2013-12-16 20:43:28 status unpacked debconf-i18n:all 1.5.49
2013-12-16 20:43:28 status unpacked debconf-i18n:all 1.5.49
2013-12-16 20:43:28 install debianutils:armel <none> 4.3.2
2013-12-16 20:43:28 status half-installed debianutils:armel 4.3.2
2013-12-16 20:43:28 status unpacked debianutils:armel 4.3.2
2013-12-16 20:43:28 status unpacked debianutils:armel 4.3.2
2013-12-16 20:43:29 install diffutils:armel <none> 1:3.2-6
2013-12-16 20:43:29 status half-installed diffutils:armel 1:3.2-6
2013-12-16 20:43:29 status unpacked diffutils:armel 1:3.2-6
